3 initializing
3 waiting
1 initializing
1 waiting
2 initializing
2 waiting
0 initializing
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sorting array
0 sending value to next
0 sending value to next
0 sending value to next
0 sending value to next
0 sending value to next
0 sending value to next
0 sending value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 0
1 waiting
1 receiving 18845, elementsSorted = 1
1 waiting
1 receiving 36832, elementsSorted = 2
1 waiting
1 receiving 25204, elementsSorted = 3
1 waiting
1 receiving 92440, elementsSorted = 4
1 waiting
1 receiving 92425, elementsSorted = 5
1 waiting
1 receiving 92410, elementsSorted = 6
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 7
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 8
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 9
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 10
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 11
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 12
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 13
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 14
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 15
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 16
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 17
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 18
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 19
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 20
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 21
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 22
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 23
1 waiting
1 receiving 48678, elementsSorted = 24
1 waiting
0 sending current last value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 25
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 26
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 27
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 28
1 waiting
1 receiving 48678, elementsSorted = 29
1 waiting
0 sending current last value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 30
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 31
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 32
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 33
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 34
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 35
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 36
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 37
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 38
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 39
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 40
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 41
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 42
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 43
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 44
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 45
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 46
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 47
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 48
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 49
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 50
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 51
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 52
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 53
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 54
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 55
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 56
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 57
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 58
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 59
1 waiting
1 receiving 48678, elementsSorted = 60
1 waiting
0 sending current last value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 61
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 62
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 63
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 64
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 65
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 66
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 67
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 68
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 69
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 70
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 71
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 72
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 73
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 74
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 75
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 76
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 77
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 78
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 79
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 80
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 81
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 82
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 83
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 84
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 85
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 86
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 87
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 88
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 89
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 90
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 91
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 92
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 93
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 94
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 95
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 96
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 97
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 98
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 99
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 100
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 101
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 102
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 103
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 104
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 105
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 106
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 107
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 108
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 109
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 110
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 111
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 112
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 113
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 114
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 115
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 116
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 117
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 118
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 119
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 120
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 121
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 122
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 123
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 124
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 125
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 126
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 127
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 128
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 129
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 130
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 131
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 132
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 133
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 134
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 135
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 136
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 137
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 138
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 139
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 140
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 141
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 142
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 143
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 144
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 145
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 146
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 147
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 148
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 149
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 150
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 151
1 waiting
1 receiving 48678, elementsSorted = 152
1 waiting
0 sending current last value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 153
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 154
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 155
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 156
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 157
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 158
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 159
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 160
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 161
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 162
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 163
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 164
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 165
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 166
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 167
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 168
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 169
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 170
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 171
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 172
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 173
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 174
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 175
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 176
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 177
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 178
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 179
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 180
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 181
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 182
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 183
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 184
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 185
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 186
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 187
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 188
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 189
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 190
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 191
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 192
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 193
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 194
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 195
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 196
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 197
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 198
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 199
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 200
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 201
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 202
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 203
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 204
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 205
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 206
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 207
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 208
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 209
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 210
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 211
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 212
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 213
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 214
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 215
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 216
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 217
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 218
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 219
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 220
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 221
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 222
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 223
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 224
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 225
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 226
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 227
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 228
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 229
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 230
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 231
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 232
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 233
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 234
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 235
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 236
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 237
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 238
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 239
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 240
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 241
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 242
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 243
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 244
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 245
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 246
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 247
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 248
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 249
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 250
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 251
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 252
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 253
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 254
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 255
1 waiting
1 receiving 48678, elementsSorted = 256
1 waiting
0 sending current last value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 257
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 258
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 259
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 260
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 261
1 waiting
1 receiving 48678, elementsSorted = 262
1 waiting
0 sending current last value to next
0 sending current last value to next
1 receiving 48678, elementsSorted = 263
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 264
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 265
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 266
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 267
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 268
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 269
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 270
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 271
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 272
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 273
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 274
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 275
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 276
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 277
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 278
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 279
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 280
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 281
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 282
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 283
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 284
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 285
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 286
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 287
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 288
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 289
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 290
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 291
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 292
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 293
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 294
1 waiting
0 sending current last value to next
1 receiving 48678, elementsSorted = 295
1 waiting
1 receiving 48678, elementsSorted = 296
1 waiting
0 sending current last value to next
0 sending current last value to next
